新領域創成科学研究科,専攻名,研究室名,教員名,説明,研究室HP,キーワード,引用元HP 
新領域創成科学研究科,メディカル情報生命専攻,感染症分野,教授 四柳宏,"我々の研究室は新しい陣容で出発したばかりである。　研究室は日本のHIV研究の草分け的存在であり、これまでも基礎研究・臨床研究で多くの成果を挙げてきた。HIV感染症は治療の進歩により、後天性免疫不全症候群（AIDS）を発症して亡くなることは少なくなった。代わって問題になってきているのは（１）免疫寛容状態に基づく悪性腫瘍の合併、（２）HIVそのものを排除することが難しいこと、（３）健常人に比べ加齢の進行が速く、生活習慣病を早期に合併すること、が挙げられる。（１）と（３）に関しては大規模な臨床研究・基礎研究が全国規模に開始されており、当研究室も研究の中核を担っている。また、（２）に関しても現在研究を開始すべく準備を進めている。将来的には基礎研究の成果を診療の場に還元するトランスレーショナルリサーチを医科学研究所の他の研究室とも連携しながら展開していく予定である。　教室責任者の四柳は肝炎ウイルスに関しても基礎的な研究をこれまで行ってきた。HBV, HCVはHIVと共通点の多いウイルスである。ウイルス肝炎の自然経過や発癌に関与するウイルス側要因を解明してきた。今後はこうした研究を押し進める一方で、医科学研究所の特長を生かし、肝炎に伴う様々な自己免疫現象、肝炎と他の感染症との関連についても研究を展開する予定である。 　慢性感染症は主な感染臓器だけではなく全身の臓器に影響を及ぼす。そのような魅力が感じられる研究を学生諸君と一緒に行っていきたいと思っている。",http://www.idimsut.jp/,HIV感染症　ウイルス肝炎　ウイルス発癌　生活習慣病,http://www.idimsut.jp/
新領域創成科学研究科,メディカル情報生命専攻,分子シグナル制御分野,教授 武川睦寛,当研究室では、分子生物学や生化学の研究手法を駆使し、細胞運命（増殖、分化、死など）決定と疾患発症に重要なシグナル伝達システムであるMAPキナーゼ（MAPK）カスケードの研究を行っています。哺乳類細胞には、増殖因子によって活性化され、主に細胞増殖に作用するERK経路と、様々な環境ストレス刺激（紫外線、放射線、活性酸素、高浸透圧、熱ショックなど）によって活性化され、細胞周期停止／アポトーシスや炎症を惹起するp38経路およびJNK経路という、少なくとも３種類のMAPK経路が存在します。　これら複数のMAPK経路が、刺激に応じて正しく制御されることで、人体の恒常性が維持されており、一方、その制御異常が、癌、アレルギー・自己免疫疾患、糖尿病や神経変性疾患などの疾病発症に繋がることが知られています。私達は、MAPK経路の活性制御機構と生理機能、および疾病との関連を分子レベルで解き明かし、さらにMAPK経路をターゲットとした分子標的薬を開発して疾患治療に役立てることを目標に研究を進めています。　当研究室ではこれまでに、p38/JNK経路を制御する新たな分子として、MTK1やPP2C等の蛋白質リン酸化/脱リン酸化酵素、ストレス応答のメインスイッチとも考えられるGADD45関連分子など、複数の遺伝子を同定し、その生理機能と疾患における制御異常を解明してきました。また、「ストレス顆粒」と呼ばれるmRNA-蛋白質複合体による細胞死の制御、非コードRNA（lncRNA、miRNAなど）による増殖・生存の調節など、新たなシグナル伝達制御メカニズムを見出しており、癌や神経変性疾患を始めとする疾病との関わりを明らかにすべく研究を進めています。詳しくはHP:http://www.ims.u-tokyo.ac.jp/dcsmm/DCSMM/Top.html をご覧下さい。,http://www.ims.u-tokyo.ac.jp/dcsmm/DCSMM/Top.html,"シグナル伝達、癌、非コードRNA、ストレス応答、MAPキナーゼ
",http://www.ims.u-tokyo.ac.jp/dcsmm/DCSMM/Top.html
新領域創成科学研究科,メディカル情報生命専攻,幹細胞分子医学分野,教授 岩間厚志,幹細胞は固体の発生・維持において基幹となる細胞です。また、幹細胞制御機構の破綻が多くの疾患につながることも明らかになっています。本分野では、造血幹細胞研究から多様な生命現象を解き明かすことが重要なテーマです。【研究課題1】幹細胞の自己複製機構：造血幹細胞の自己複製のエピジェネティック制御の理解を通して、幹細胞の制御法の開発を目指しています。【研究課題2】癌と加齢のエピジェネティクス：がんの発症に関わるエピジェネティック制御機構の破綻は、がんの新しい治療標的として注目されています。また、加齢に伴う幹細胞のエピゲノム変化も、私たちの個体の加齢や疾患に関わることが明らかになりつつあります。造血腫瘍や造血幹細胞のエイジングをエピジェネティックな観点から研究史、新しい治療法の確立を目指しています。http://www.ims.u-tokyo.ac.jp/molmed/,http://www.ims.u-tokyo.ac.jp/molmed/,造血幹細胞、造血腫瘍、エイジング、エピジェネティクス,http://www.ims.u-tokyo.ac.jp/molmed/
新領域創成科学研究科,メディカル情報生命専攻,再生医学分野,教授 谷口英樹,「再生医学　(Regenerative Medicine)」は、急速に解明の進みつつある発生生物学や幹細胞生物学の新知見を、臨床医学への応用することを目指す挑戦的な学問領域です。現在、末期臓器不全症に対して臓器移植が有効な治療法として実施されていますが、年々増大する移植ニーズに比べて、ドナー臓器の供給量は絶対的に不足しており、再生医療への期待が高まっています。 当研究室では、ヒトiPS細胞等の幹細胞を用いたヒト組織・臓器の創出法・移植法を開発し、臓器移植の代替となる新たな治療法を開発する研究を行っています。また、我々は、iPS細胞研究において確立した様々な細胞操作技術をがん研究に応用し、癌微小環境を伴うヒト難治癌組織（癌オルガノイド）を人為的に再構成する手法を確立しています。 この技術をもとに、癌の再発や移転を抑制するための創薬開発に繋げる研究を展開しています。,,再生医学、iPS細胞、オルガノイド、癌オルガノイド,unknown
新領域創成科学研究科,メディカル情報生命専攻,癌防御シグナル分野,教授 中西真,当研究室では細胞増殖に伴うDNAメチル化維持機構、細胞のがん化、老化を防御する分子機構の研究を行っています。DNAメチル化は最もよく知られるエピジェネティクス修飾の一つであり、転写制御、発生、分化、レトロトランスポゾンの抑制、さらにゲノム安定性の維持など様々な現象において重要な役割を果たしています。DNAメチル化パターンはゲノムDNAの複製に伴い正確に娘DNAに伝達される必要があり、その破綻はがんをはじめとした様々な疾患の原因となります。しかし、DNA複製に伴いDNAメチル化パターンを複製する分子機構の実体、そしてその破綻がどのような形でもたらされ、どのようにゲノムの不安定化や疾患を引き起こすのかは、ほとんど理解されていません。我々は、この重要な問題に対して、試験管内で染色体複製を再現可能であるツメガエル卵抽出液由来の無細胞系を用いて取り組んでおり、すでにDNAメチル化維持に関わる新たな分子機構を複数見出しています。さらに、発見した新しい分子メカニズムを手がかりに新規のDNAメチル化酵素阻害剤の開発を目指します。 　また、当研究室では、がん化や老化を制御する分子基盤についても、分子・細胞レベルの解析から個体レベルの分子ネットワークの理解まで幅広く解析を行っています。ともに研究生活を楽しめる元気な若手研究者の参加を待っています。研究室の情報については、ホームページを参考にして下さい。http://www.ims.u-tokyo.ac.jp/cancer-cell-biology/hp2018/01index.html,http://www.ims.u-tokyo.ac.jp/cancer-cell-biology/hp2018/01index.html,DNAメチル化、エピゲノム、ヒストン修飾、DNA複製、老化,http://www.ims.u-tokyo.ac.jp/cancer-cell-biology/hp2018/01index.html
新領域創成科学研究科,メディカル情報生命専攻,ワクチン科学分野,教授 石井健,"2019年1月に新たに設立された、ワクチンをしっかりした学問にすることを目的とする研究室です。2010年に独立し、大阪大学、医薬基盤研究所を経て、一貫して感染症やその他免疫関連疾患における核酸（DNA, RNA）の免疫制御機構と、その生理学的意義の解明、及び核酸を利用したワクチン、アジュバント、代替免疫療法開発を行っています。これらの研究成果をもとに、自身の臨床経験や治験審査の経験など最大限生かし、""Bench to Clinic""の具現化を目標にしています。具体的な研究内容として、１）ワクチンやアジュバントによって引き起こされる細胞死、自然免疫応答、抗原特異的反応を時空間的に、分子レベルで解明する２）生体から細胞レベル、さらには遺伝子、原子（構造）レベルでの網羅的解析を行い、ワクチンの有効性、安全性のバイオマーカーを同定するワクチンの必須要素（抗原、アジュバント、デリバリ（ベクター））を見極め、関連基礎研究領域、周辺技術を上手に取り入れつつ、次世代のワクチン開発研究のプラットフォームを構築するとともに、真に臨床応用するための最適な道筋をつくるといった項目を目標に定め、分子生物学、細胞生物学およびヒト臨床研究まで幅広く学べる環境を提供します。",http://www.vaccine-science.ims.u-tokyo.ac.jp/,,http://www.vaccine-science.ims.u-tokyo.ac.jp/
新領域創成科学研究科,メディカル情報生命専攻,先進動物ゲノム研究分野,教授 真下知士,令和元年6月に東京大学に異動してきた‘新しい研究室’です。 ゲノム編集（ZFN、TALEN、CRISPR/Cas9など）は、ライフサイエンス・メディカルサイエンスに‘革命’をもたらしました。ヒトや動物の遺伝子を自由に操ることができるこの技術は、ヒト細胞で遺伝子機能を調べる、動物の遺伝子を改変してヒト疾患モデルを作る、ヒト病気を治療する、などさまざまな利用方法があります。我々の研究室では、１）国産の新規ゲノム編集技術CRISPR-Cas3を開発し、ヒト細胞療法や遺伝子治療への応用研究を行っています。２）ゲノム編集技術を受精卵に利用することで、新しい疾患モデル動物、特にヒト遺伝子を保有する‘ヒト化動物（ゲノム）’の開発を行っています。ヒト細胞やヒトiPS細胞を免疫不全動物に移植した‘ヒト化動物（臓器）’の開発も行っています。１）新規ゲノム編集CRISPR-Cas3の開発ゲノム編集技術は、農業、産業、医療などのさまざまな分野に利用されていますが、オフターゲット変異といった安全性や、知的財産等の課題があります。これら課題を克服するため、我々の研究室では日本初の新しいゲノム編集技術CRISPR-Cas3を開発しました。現在、CRISPR-Cas3を利用して以下の研究を行っています。① ヒト細胞、iPS細胞、免疫T細胞などで効率的なゲノム編集を行い、がん、神経疾患、皮膚疾患などに対する新しい細胞療法の開発。② AAVなどウイルスベクター、リポソーム系ドラッグデリバリー技術を用いて体内にCRISPR-Cas3を導入するin vivo遺伝子治療法の開発。③ CRISPR-Cas3ライブラリーを用いたがん遺伝子、遺伝子発現調節領域、エピゲノム領域等の同定を行い、新しい遺伝子治療候補の探索。④ マウス・ラット受精卵におけるゲノム編集技術の開発、ヒト疾患モデルの作製。これらゲノム編集の新規開発は、新しい遺伝子治療や新規薬物候補の同定だけでなく、バイオサイエンスや基礎医学研究を大きく変える技術になると期待しています。２）ゲノムおよび細胞によるヒト化動物の創成① ヒト化動物（ゲノム）は、ゲノム編集技術を使って、動物の遺伝子やゲノム領域を切り取り（ノックアウト）、ヒトゲノム遺伝子を貼り付ける（ノックイン）ことで、ヒト遺伝子群（ゲノム）を保有した動物のことです。ヒト、マウス、ラットは約2万の遺伝子を持っているといわれていますが、ヒトにしか存在しない遺伝子や、ヒトと動物で機能が異なる遺伝子があることがわかっています。特に、肝臓の薬物や毒物の代謝に関わる遺伝子（p450）、主要組織適合遺伝子（MHC）などの免疫に関わる遺伝子、知能や脳発達に関わる遺伝子など、重要な機能を持った遺伝子をヒト化することで、新しい動物モデルの創成につながることが期待されます。② ヒト化動物（臓器）は、拒絶反応の弱い免疫不全動物にヒトの細胞や組織を移植することで、移植されたヒト細胞や組織が、動物の体の中に生着、増殖した動物のことです。ヒトとマウス、ラットなどの動物では、肝臓、膵臓、心臓などの薬物代謝、あるいは神経、血液など細胞反応が異なることがわかっています。これら細胞や組織をヒト化することで、ヒト代謝や生体反応を動物体内で解析することができます。①ヒト化動物（ゲノム）と異なり、組織や細胞を丸ごと変えることで、個体レベルでヒトの代謝パスウェイを見ることができるメリットがあります。ヒト細胞と動物細胞の両方を保有したキメラ動物を作ることができます。,https://www.ims.u-tokyo.ac.jp/animal-genetics/index.html,"ゲノム編集, CRISPR-Cas3, ヒト化動物, 遺伝子治療, 再生医療",https://www.ims.u-tokyo.ac.jp/animal-genetics/index.html
新領域創成科学研究科,メディカル情報生命専攻,DIVISION OF MALARIA IMMUNOLOGY,Professor Cevayir COBAN,"Although it is eradicated in most countries, malaria, however, is still the disease for poor affecting about 100 countries in the world. There is no successful vaccine available against malaria yet. Why years of scientific research cannot beat Plasmodium parasites (a causative agent of malaria) and eliminate them by vaccines is an important question in my lab. Moreover, while acute malaria kills mostly children, chronic malaria causes unforeseen complications which are not fully understood. We have focused on the host-Plasmodium interactions aiming at understanding how these parasites manipulate the immune system particularly in the context of specific tissue/organs and their specific cell environment (i.e. brain, bone). To achieve our goals we use cutting edge information and technologies. Our overall aim is to use the knowledge derived from state-of-the-art modalities to develop host-mediated therapies to heal acute and chronic complications of malaria and develop new vaccination strategies.We support our students to access knowledge and provide international environment to enjoy scientific endeavors driven by a scientific curiosity. We believe Plasmodium parasites are challenging tool to study scientific questions related to immunology, parasitology and biology.",https://www.ims.u-tokyo.ac.jp/malimmun/,"Immunopathology, Malaria, Vaccine, Imaging",https://www.ims.u-tokyo.ac.jp/malimmun/
新領域創成科学研究科,メディカル情報生命専攻,RNA制御学分野,教授 稲田利文,遺伝子発現の正確性を保証するしくみを解明する正確な遺伝子発現は生命現象の根幹であり、異常タンパク質の産生はタンパク質恒常性の破綻をもたらす根本原因と考えられる。異常タンパク質は、翻訳後に様々な要因で立体構造等の変化により生じるが、異常なmRNAや不正確な翻訳反応、さらに異常なリボソームでも産生されることが明らかになってきた。我々は翻訳伸長異常を認識し、合成途中の新生ポリペプチド鎖を分解するRQC(Ribosome-associated quality control)を発見し、リボソームの特異的なユビキチン化による運命決定機構を解明してきた。さらに、機能を欠損したリボソームを分解する品質管理機構であるNRD(Non-functional rRNA Decay)についても、E3ユビキチンライゲースによるリボソームタンパク質の特定部位でのユビキチンの機能を解明している。これらの翻訳品質管理は、異常タンパク質の産生を抑制し、タンパク質恒常性を維持する分子機構の解明は、様々な異常タンパク質蓄積により引き起こされる疾患（アルツハイマー病やパーキンソン病等の神経変性疾患）や老化に関する創薬の分子基盤になることが期待される。１．翻訳の正確性を保証する品質管理RQCの分子機構翻訳の異常はどのように感知され、異常たんぱく質はどのように分解・排除されるか？２．神経細胞における翻訳品質管理の生理的意義神経細胞でどのような異常翻訳がおこり、品質管理で認識・排除されるか？３．リボソーム異常と疾患異常リボソームはどのように認識され排除されるのか？ リボソーム異常に起因する疾患はどの様に発症するか？４．老化と翻訳の正確性老化によるタンパク質恒常性異常の実体は？関連する研究分野・研究領域は、以下の通りです。 【遺伝学・生化学】翻訳品質管理・RNA発現制御 【細胞生物学・神経科学】タンパク質恒常性の破綻による神経細胞死と疾患発症メカニズム 【構造生物学】クライオ電子顕微鏡を用いたリボソームと品質管理因子の単粒子解析遺伝学・生化学・細胞生物学から構造生物学、神経科学まで、異なる研究手法を幅広く取得し、新たな研究分野を開拓することを志す方を歓迎します。タンパク質恒常性維持の基盤である翻訳品質管理におけるリボソーム運命決定の解明に取り組むことで、あらゆる手法を駆使して、１つの現象を解明できる人材を育成することを目標としています。大学院生として研究室への参加を希望する方へ稲田研究室では、以下の２つの専攻からの受け入れしています。詳細は、各専攻のウェブサイトをご確認ください。・東京大学 大学院新領域創成科学研究科 メディカル情報生命専攻・東京大学 大学院理学系研究科 生物科学専攻,https://testwebcil4.com/inada/link/,翻訳品質管理・RNA発現制御、リボソーム・ユビキチン化、タンパク質恒常性維持・異常タンパク質分解,https://testwebcil4.com/inada/link/
新領域創成科学研究科,メディカル情報生命専攻,RNA機能研究分野,教授 泊幸秀,私たちのゲノムDNAにコードされた遺伝情報の多くは、転写によってmRNA（messenger RNA）へと写し取られたのちに、タンパク質へと翻訳されることで発現します。1958年にクリックによって提唱されたこのセントラルドグマの概念は、生命の根幹を成す基本原理として広く受け入れられてきました。しかし現在では、この概念には数多くの例外が存在していることがわかっています。私たちの研究室ではそのような例外の代表格である、非コードRNA（non-coding RNA; ncRNA）と呼ばれる「タンパク質に翻訳されずにはたらくRNA」に注目し、その機能と動作原理の解明を目指して研究を行っています。非コードRNAの代表例としては、分子生物学の黎明期に発見されたrRNA（ribosomal RNA）、tRNA（transfer RNA）、snRNA（small nuclear RNA）などがよく知られています。これらのRNAは、mRNAの成熟やタンパク質への翻訳といったセントラルドグマの基本過程に必須であることから、長年にわたって詳細な解析が進められてきました。一方最近の研究からは、細胞の中にはこれらの古典的なRNAだけではなく、もっと多種多様な非コードRNAが存在していることが明らかとなっています。1990年代以降になって次々と発見されたmiRNA（microRNA）やsiRNA（small interfering RNA）、piRNA（PIWI-interacting RNA）などの20～30塩基の小分子RNA（small RNA）は、自身と相補的なRNAを選択的に認識し、その分解や翻訳抑制を引き起こすことで、遺伝子の発現を負に制御しています。また近年、long non-coding RNA（lncRNA）と呼ばれる長い非コードRNAが、核内でクロマチン動態や転写のエピジェネティックな制御に関わるなど、多様な役割を果たしていることが明らかになって来ています。これらの非コードRNAは、遺伝子発現を緻密に制御することで、複雑で高次な生命現象を支えていると考えられています。しかしこれらの非コードRNAが、どのようにして生み出され、どのような原理で機能しているのかについては、まだほとんどわかっていません。私たちの研究室では、生化学、生物物理学、細胞生物学、遺伝学などを組み合わせることにより、非コードRNAを中心としたRNAワールドの不思議に挑戦しています。 http://www.iam.u-tokyo.ac.jp/tomari,http://www.iam.u-tokyo.ac.jp/tomari/jp/,RNA、サイレンシング、生化学、生物物理学,http://www.iam.u-tokyo.ac.jp/tomari/jp/
新領域創成科学研究科,メディカル情報生命専攻,免疫・感染制御研究分野,教授 新藏礼子,免疫システムのなかでもBリンパ球が産生する抗体に注目して研究を進めています。抗原刺激を受けるとBリンパ球はactivation-induced cytidine deaminase (AID)という酵素を発現し、抗体の抗原結合力を変化させる体細胞突然変異とともに、抗体の攻撃力を変えるクラススイッチが誘導されます。両者は感染防御に重要な役割を担っておりともにAIDが必要で、AIDによるDNA切断が引き金となって抗体遺伝子に変異が導入されます。DNA変異はゲノム安定性に対する大きな危険要素となり、これがうまくコントロールされないと細胞のがん化を引き起こします。私たちは体細胞突然変異だけが特異的に障害されるAID変異体を見つけ、これを手掛かりに体細胞突然変異の分子メカニズムを明らかにします。同時に、新しい抗体を作るメカニズムを探りながら、基礎研究の成果を病気の治療に役立てることを目指します。＜主な研究テーマ＞1) 腸管IgA抗体による腸内細菌制御機構の解明腸管のIgA抗体は多彩な腸内細菌叢の何を識別して制御するのかを明らかにします。2) 体細胞突然変異機構の分子レベルでの解析遺伝子に能動的に変異を入れる機構がどのように制御されるのかを明らかにします。3) IgAへ選択的にクラススイッチさせる誘導物質の探索アレルゲンに対してIgEではなくIgAを選択的に作れればアレルギー反応のかわりに粘膜防御に役立つはず、というアイデアを応用へとつなげます,http://www.iam.u-tokyo.ac.jp/shinkuralab/,抗体、腸内細菌、体細胞突然変異、粘膜免疫,http://www.iam.u-tokyo.ac.jp/shinkuralab/
新領域創成科学研究科,メディカル情報生命専攻,幹細胞制御研究分野,准教授 田中稔,成体の肝臓は生命を維持する上で必須の代謝器官であり、その主要な機能を担う肝実質細胞（肝細胞）と肝非実質細胞（類洞内皮細胞、肝星細胞、胆管上皮細胞、血液細胞など）から構成されています。肝発生過程においては、肝細胞と胆管上皮細胞は肝芽細胞と呼ばれる共通前駆細胞から分化してくることから、肝芽細胞は胎児期の肝幹╱前駆細胞（LPC）と考えられています。当研究室ではマウス胎仔肝臓を構成する各細胞種に対するマーカー分子を多数同定し、フローサイトメトリー解析や細胞培養、遺伝子改変マウスを利用することで、LPCの増殖および分化に関わる細胞間相互作用を明らかにしてきました。一方、成体肝臓においても重篤な肝障害時に出現するオーバル細胞は肝再生に寄与するLPCであると考えられていましたが、その実体については長い間不明でした。当研究室ではマウスのLPCマーカー分子としてEpCAMとTROP2という２つの膜タンパク質分子を同定し、セルソーターを用いた解析や細胞培養系によりLPCの性状を明らかにしてきました。しかしながら、成体肝臓におけるLPCの制御機構については不明な点も多く残されています。本研究分野では、肝疾患時の再生過程におけるLPCの制御機構を細胞間相互作用を中心に明らかにすることを目指します。また、新たに同定したLPCマーカー分子の中には、炎症や線維化に関わる分子や多くのヒト肝癌細胞株で発現している分子も含まれることを見出しており、現在、LPCと肝線維化や肝癌発症との関連についても検討を進めています。詳細については、以下のホームページをご覧下さい。 http://ncgm-regenerative-medicine.org,http://ncgm-regenerative-medicine.org/index.html,幹細胞、肝臓、線維化、再生、細胞死,http://ncgm-regenerative-medicine.org/index.html
新領域創成科学研究科,メディカル情報生命専攻,クロマチン構造機能研究分野,准教授 滝沢由政,クロマチンをクライオ電子顕微鏡により解き明かす生体内では、複数のタンパク質や核酸が複合体を形成し、生体超分子として働いています。その中でも、真核生物の膨大なゲノムDNAをコンパクトに折りたたみ、細胞核内に収納するための構造体であるクロマチンは、生体内で最も複雑な生体超分子構造体の一つです。細胞の分化や恒常性維持といった現象には、ゲノムDNAの配列に依存しないエピジェネティックな制御が重要な役割を果たしています。クロマチンとその折りたたまれ方は、エピジェネティックな遺伝子制御に深く関与しているとともに、転写、複製、修復などの核内イベントにも重要な役割を果たしていることが分かってきています。私たちの研究室では、クロマチンの基盤構造およびクロマチン上で起こるイベントのダイナミクスを明らかにすることを目指しています。試験管内で再構成したクロマチンや細胞核から抽出したクロマチンを使い、構造生物学的および生化学的解析を用いて研究を行っています。構造解析技術の中でも特に、クライオ電子顕微鏡による構造解析は、近年著しい発展を遂げている分野です。私たちの研究室では、このクライオ電子顕微鏡による構造解析を中心に、クロマチンの役割を明らかにしようとしています。タンパク質複合体のランダムな角度の粒子画像から高分解能の構造決定を行う単粒子解析だけでなく、試料の連続傾斜像を撮影することにより立体構造解析を行うクライオ電子線トモグラフィを駆使して、クロマチン構造と細胞核内イベントの謎に迫っていきたいと考えています。,http://www.iam.u-tokyo.ac.jp/kurumizakalab/index.html,クロマチン、クライオ電子顕微鏡、エピジェネティクス、生体超分子、構造生物学、生化学,http://www.iam.u-tokyo.ac.jp/kurumizakalab/index.html
新領域創成科学研究科,メディカル情報生命専攻,臨床医科学分野,教授 正井久雄,"染色体DNA複製は、正確に、高速に、秩序正しく起こる。この過程の異常は、がん細胞や老化細胞に見られるゲノムの遺伝的不安定性(変異、染色体の欠損や再編成など)を引き起こす。実際、最近の研究から、内的外的な原因による複製障害に対する適切な細胞応答の破綻が、がん細胞の初期遺伝的変化の主要な要因になっていることが示されている。また複製制御に関与する因子が臓器、組織の発生・分化に直接的に関与する可能性も示唆されている。さらに、グアニン４重鎖構造、RNA-DNAハイブリッドを始めとする非B型DNA構造が、複製制御を始め、多様な生物反応の種々の側面で鍵を握る役割を果たしていることが明らかになってきた。私達は、染色体複製制御の普遍的なメカニズムの解明を基盤に、ゲノムDNA構築とその機能発現制御の新しい原理の解明を目指す。具体的には大腸菌、分裂酵母、動物細胞、マウス個体など多様な生物を用いて、次のような課題にアプローチする。1) ゲノム複製開始の普遍的なメカニズムの解明。2) 複製ストレスに対する細胞応答のメカニズムの解明と、その破綻と発がん、疾患との関連。3)染色体高次構造の制御を介した複製起点活性化の時空間プログラム制御の分子基盤の解明。4) ゲノムDNA上の非B型構造の多様な生物学的意義の解明。5) 複製因子の変異による脳発生異常のメカニズムの解明。6) 複製、細胞周期因子を標的とした新規な創薬戦略の開発。ゲノム複製の研究から、ゲノムの新原理の解明に挑むチャレンジングな研究に参画したい大学院生を募集する。研究テーマ１　ゲノム複製の普遍的メカニズムの解明と複製システムの進化２　複製ストレスに対する細胞応答機構の解明と発がん、疾患への関与複製ストレスチェックポイントメディエーターClaspinの構造と機能の解明。複製開始制御と複製ストレス応答における機能の解明・分子内相互作用による機能制御機構、栄養、温度、酸素など種々のストレス応答の仲介分子としての機能の解明を目指す。３　複製の時空間プログラムとクロマチン構造1,2の研究ではグアニン４重鎖(図1)がこれらの制御に重要な役割を果たす事が明らかとなってきた。保存された核因子Rif1は染色体機能ドメインの制御を介して複製タイミング制御に中心的な役割を果たす(図2)。４　ゲノムDNA上の非B型DNA構造の生物学的意義の解明グアニン４重鎖、RNA-DNA ハイブリッドなど非B型DNA構造の新規機能の発見と、これら特殊形態を有する核酸によるゲノム機能制御の新しい原理解明を目指す。５　複製因子の変異による脳発生異常のメカニズムの解明Cdc7キナーゼ、Claspinなどの、脳を含む種々の臓器・組織の発生における役割・個体レベルでの機能を、遺伝子改変動物を用いて解明する。６　複製、細胞周期因子と疾患の関連と、これらを標的とした新規な創薬戦略の開発複製制御因子の変異がもたらす疾患の分子基盤の解析と、複製因子、チェックポイント制御、細胞周期連動を標的とする新規創薬戦略を開発する。",http://www.igakuken.or.jp/genome/,DNA複製、ゲノム安定性、クロマチン高次構造、複製チェックポイント、グアニン4重鎖、RNA-DNAハイブリッド、がん、制がん剤,http://www.igakuken.or.jp/genome/
新領域創成科学研究科,メディカル情報生命専攻,臨床医科学分野,教授 糸川昌成,ヒトはなぜ心を病むのか。かつては、この答えを宗教や哲学の領域が探究した。この問答に医学が参入するようになって、まだ300年ほどしかたっていない。我々は、生物学の方法と道具を用いて、脳と心が織りなすこの難問に挑んでいる。　脳波や画像を含む身体的な検査で何も異常が見られないのに、情動や思考に困難が生じる脳の疾病を機能性精神疾患という。統合失調症は、気分障害と並ぶ代表的な機能性精神疾患である。我々は、統合失調症の経験者の協力を得てゲノム解析やメタボローム解析を行い、統合失調症の原因解明に取り組んできた。当事者で多く見られるゲノム多型や代謝障害を、培養細胞や動物モデルで再現し病態を科学的に再構築している。また、特徴的なゲノム多型や遺伝子変異をもつ当事者からiPS細胞を樹立して、神経系へ分化させ病態を解析している。統合失調症は、どの民族でも100人に一人がかかる、比較的頻度の高い疾患である。人類が進化の過程で、この病態を淘汰せず一定頻度で経験し続けてきたのはなぜだろうか。モデル動物や培養細胞で再構成された病態には、そうした観点からも答えを見出そうとしている。統合失調症では、脳の高次機能である能動性の意識や自己の同一性など、自我の機能にも困難を生じる。自我や自己意識といった、かつて哲学や宗教が挑んだ領域に、ミクロのレベルの生物学から解明に挑んでいる。（http://www.igakuken.or.jp/schizo-dep/）,http://www.igakuken.or.jp/schizo-dep/,精神疾患、心、脳、分子生物学、ゲノム,http://www.igakuken.or.jp/schizo-dep/
